text,summary_Llama-3.2-3B,summary_Llama-3.2-3B-Instruct
" backgroundboth pathological excess and deficiency of growth hormone ( gh ) are associated with cardiovascular mortality.objectivesthe goal of this study was to test whether fasting levels of growth hormone measured with a high - sensitivity assay ( hs - gh ) predict cardiovascular morbidity and mortality at the population level.methodswe studied 4,323 participants ( age 46 to 68 years ; mean age 58 years ; 59% women ) of the swedish , population - based malm diet and cancer study examined in 1991 to 1994 . using multivariate - adjusted cox proportional hazards models , 
 we related baseline levels of fasting hs - gh to incidence of coronary artery disease , stroke , congestive heart failure , all - cause mortality , and cardiovascular mortality.resultsduring a median follow - up of 16.2 years , hs - gh ( hazard ratio [ hr]/sd increment of natural logarithm of fasting hs - gh ) was independently associated with increased risk of coronary artery disease ( 397 events ; hr : 1.11 ; 95% confidence interval [ ci ] : 1.01 to 1.23 ; p  = 0.04 ) , stroke ( 251 events ; hr : 1.18 ; 95% ci : 1.04 to 1.34 ; p  = 0.01 ) , congestive heart failure ( 107 events ; hr : 1.25 ; 95% ci : 1.03 to 1.52 ; p  = 0.02 ) , all - cause mortality ( 645 events ; hr : 1.17 ; 95% ci : 1.08 to 1.26 ; p  < 0.001 ) and cardiovascular mortality ( 186 events ; hr : 1.43 ; 95% ci : 1.24 to 1.66 ; p  < 0.001 ) . 
 the addition of hs - gh to a model with conventional cardiovascular risk factors significantly reclassified risk , with a category - free net reclassification improvement ( > 0 ) of 0.542 ( 95% ci : 
 0.205 to 0.840 ) in cardiovascular mortality.conclusionshigher values of hs - gh were associated with an increased risk of cardiovascular morbidity and mortality . ","A study of 4,323 people found that higher levels of growth hormone were associated with an increased risk of cardiovascular disease and death.","A study of 4,323 people aged 46-68 years found that higher levels of growth hormone in the blood (measured by a sensitive test) were linked to a greater risk of heart disease, stroke, congestive heart failure, and death from any cause. The study also found that including growth hormone levels in a model with other risk factors improved the accuracy of predicting cardiovascular risk."
" sutureless aortic valve replacement ( avr ) was developed as an alternative treatment option to conventional open - heart surgery and transcatheter aortic valve implantation for  gray zone  patients . 
 the need for concurrent mitral valve surgery is generally viewed as a contraindication to sutureless avr . 
 the purpose of this brief paper is to report our experiences with sutureless valves in patients after previous cardiac procedures with degenerated aortic bioprostheses and concomitant mitral valve disease . ","Sutureless aortic valve replacement (AVR) was developed as an alternative treatment option to conventional open-heart surgery and transcatheter aortic valve implantation for ""gray zone"" patients. The need for concurrent mitral valve surgery is generally viewed as a contraindication to sutureless AVR. The purpose of this brief paper is to report our experiences with sutureless valves in patients after previous cardiac procedures with degenerated aortic bioprostheses and concomitant mitral valve disease.","A 55-year-old woman had surgery to remove her gallbladder because of painful gallstones. However, she developed complications such as inflammation of the gallbladder and pancreatitis after surgery."
" background and objective : to determine the prevalence of chronic kidney disease ( ckd ) and incidence of acute kidney injury ( aki ) in patients with coronary artery disease ( cad ) demonstrated on coronary angiography.materials and methods : totally , 125 patients admitted to lilavati hospital and research centre , mumbai , with cad were included in the study.results:left anterior descending artery was the major vessel involved ( 40% ) , followed by a circumflex artery ( 21.6% ) . 
 49 out of 125 ( 39.2% ) were found to have underlying ckd . 
 69% ( 34 ) of these ckd patients developed aki . 
 21 out of 34 patients who developed aki required hemodialysis . 
 only 47.1% ( 16 out of 34 ) of ckd patients had complete recovery , 29% had partial recovery , and 23% had no recovery of their renal function from aki . 
 statistically significant number of patients in ckd group had no recovery from aki as compared to non - ckd group ( 23.5% vs. 0%).conclusion : our study concludes that there is a very high prevalence of ckd ( 39.2% ) in patients with cad and aki is a very important complication ( 38.4% ) in these patients . 
 considering such a high prevalence of ckd , nephrology referral must be considered in patients with abnormal urinalysis , spot urinary protein to creatinine ratio and in patients whose creatinine clearance is < 60 ml / min . ",A 45-year-old man had a heart attack and was,"We looked at 125 patients who had heart disease and found that 39.2% of them had chronic kidney disease. We also found that 38.4% of these patients developed acute kidney injury. Many of these patients (21 out of 34) needed hemodialysis. Only 16 out of 34 patients with kidney disease recovered completely, while 29 out of 34 had only partial recovery. We found that patients with kidney disease were more likely to have no recovery from acute kidney injury compared to those without kidney disease. Our study suggests that kidney disease is common in patients with heart disease and that acute kidney injury is a serious complication. We recommend that patients with abnormal urinalysis, high protein levels, or low kidney function should be referred to a nephrologist."
" anomalous origin of the left coronary artery from the pulmonary artery ( alcapa ) is an extremely rare , potentially fatal , congenital anomaly with a high mortality rate in the first year of life . 
 it occurs rarely in adulthood and may appear with malignant ventricular a rrhythmia or sudden death . 
 we report a case of a 49-year - old woman with alcapa who presented with dyspnea on exertion . 
 management was coronary artery bypass grafting to the left anterior descending artery and obtuse marginal arteries , closure of the left main coronary artery ostium , and reestablishment of the dual coronary artery system . ","An extremely rare, potentially fatal, congenital anomaly with a high mortality rate in the first year of life, anomalous origin of the left coronary artery from the pulmonary artery (ALCAPA) occurs rarely in adulthood and may appear with malignant ventricular arrhythmia or sudden death. We report a case of a 49-year-old woman with ALCAPA who presented with dyspnea on exertion. Management was coronary artery bypass grafting to the left anterior descending artery and obtuse marginal arteries, closure of the left main coronary artery ostium, and reestablishment of the dual coronary artery system.","A very rare heart condition called alcapa, where the left coronary artery doesn't form normally, was found in a 49-year-old woman. She had trouble breathing and was treated with surgery to fix the problem. The surgery involved bypassing the blocked arteries and closing off the abnormal artery to restore the normal flow of blood to the heart."
" background : peroxisome proliferator activator receptor gamma ( ppar ) is a nuclear transcription factor regulating multiple genes involved in cell growth , differentiation , carbohydrate and lipid metabolism and energy production . several genetic variations in the ppar gene have been identified to be associated with diabetes , obesity , dyslipidemia , insulin resistance , metabolic syndrome and coronary artery disease . 
 the present study was designed to explore the distribution of two common single nucleotide polymorphisms of the ppar gene ( c1431 t and pro12ala ) in an iranian population.materials and methods : genotype frequencies for these two polymorphisms were compared for 160 healthy iranian individuals with reports from other populations . 
 the genotyping was performed using real - time polymerase chain reaction.results:the genotype distribution of the c1431 t ppar polymorphism was 0.869 for the cc genotype , 0.119 for the ct genotype and 0.013 for uncommon tt genotype . 
 allelic frequencies were 0.93 for c and 0.07 for t allele respectively . for the pro12ala polymorphism of ppar gene , genotypic distributions and allelic frequencies were , 0.813 for cc , 0.181 for cg and 0.06 for gg and 0.903 for c and 0.097 for g respectively . 
 allelic and genotypic frequencies for both polymorphisms of ppar gene were in hardy - weinberg equilibrium.conclusions:iran is a country with an ethnically diverse population and a comparison of allelic and genotypic frequencies of ppar c1431 t and pro12ala polymorphisms between our population and others showed significant differences . ","The ppar gene is important in controlling the way our bodies use energy. It is involved in many processes, including how our bodies use fat and sugar. The ppar gene has two common variations, called polymorphisms. One of these polymorphisms is a change in the DNA sequence, which means that the gene is different from the normal version. The other is a change in the protein produced by the gene. These changes can affect how the gene works. This study looked at the frequency of these two polymorphisms in an Iranian population. The study found that the polymorphism causing a change in the DNA sequence was more common in the Iranian population than in other populations. The study also found that the polymorphism causing a change in the protein was less common in the Iranian population than in other populations. The study concluded that the Iranian population is genetically different from other populations.","Researchers studied the genetic variations in a protein called PPAR, which is involved in many bodily functions, including how the body uses carbohydrates and fats. They looked at two specific variations in the PPAR gene in a group of 160 healthy Iranian people. The study found that these variations were present in different frequencies in this population compared to other populations. This suggests that the genetic makeup of the Iranian population may be different from other populations."
" indication for extracorporeal membrane oxygenation ( ecmo ) has been extended as the experience of ecmo in various clinical settings accumulates and the outcome after ecmo installation improves . 
 we report two cases of successful mitral valve surgery for severe ischemic mitral regurgitation in patients on ecmo support for cardiogenic shock which developed upon coronary angiography . ",The use of extracorporeal membrane oxygenation (ECMO) has been expanded to include more patients. We report two cases of successful heart surgery for severe heart failure in patients on ECMO support.,Researchers are testing a new way of doing surgery to see if it can help prevent heart problems in people with diabetes and high blood pressure. They
" backgroundviral infection and anti - cardiac immunity are involved in the pathogenesis of dilated cardiomyopathy ( dcm ) . immunity targeting particular antigens 
 may evoke expansion of reactive t - cell clones.material/methodsmyocardial tissues from explanted hearts were investigated for clonal t - cell - receptor- ( tcr- )  rearrangements by an established semi - nested polymerase chain reaction ( pcr ) , followed by high - resolution genescan analysis and direct sequencing . from 17 explanted dcm hearts , 
 3 myocardial samples each were obtained from the right ventricle , the septum , and the left ventricle ( total : 9 myocardial samples per case ) . six explanted hearts with non - dcm cardiomyopathy entities served as controls.resultsgenescan analysis revealed polyclonal tcr- rearrangements in all controls . 
 in contrast , at least 1 myocardial sample in 9 out of 17 dcm hearts ( total : 20 of the 81 dcm specimens ) displayed single dominant tcr- pcr products consistent with the presence of clonal t - cell populations 
 . direct sequencing of the clonal tcr- pcr - products disclosed an involvement of vb 19.01 segments in 14 of the dominant amplificates ( 70% ) . 
 further tcr - v segments involved in clonal tcr- rearrangements of dcm hearts were v 6 - 1.01 ( n=1 ) , v 6 - 3.01 ( n=2 ) , v 6 - 5.01 ( n=1 ) , v 10 - 3.02 ( n=1 ) , and v 19.03 ( n=1).conclusionsthe detectability of clonal tcr- rearrangements indicates a pathogenic relevance of this finding in dcm . 
 the predominance of v 19.01 segments suggests that the immune response in dcm patients targets particular epitopes . 
 however , the partly heterogenic tcr- populations in various myocardial samples from the respective cases support the notion that t - cell immunity may target multiple epitopes in human dcm . ","Viral infections and immune responses may cause dilated cardiomyopathy ( a disease of the heart muscle ). 
 The immune system may target particular antigens ( proteins ) in the heart. The immune system may target multiple antigens in the heart.",Researchers looked at the immune system's role in heart disease. They found that some people with heart disease have a type of immune response that targets specific parts of the heart. This response is made up of different T-cells that work together to attack the heart. The researchers also found that some of these T-cells are more common in people with heart disease than in healthy people. They think that this immune response may be contributing to the development of heart disease.
" metabolic syndrome ( mets ) or  syndrome x  which is a constellation of insulin resistance , hyperglycemia , hypertension , low high - density lipoprotein cholesterol ( hdl - c ) , and increased very - low - density lipoprotein ( vldl ) and triglyceride ( tg ) levels . 
 it is one of the main threats for public health in the 21st century with its associated risk of cardiovascular disease . 
 this condition affects a major chunk of mankind . 
 international diabetes federation ( idf ) estimated that around 20 - 25% of the adult population of the world has mets . 
 several definitions have been put forward by different expert bodies leading to confusion . to overcome this , 
 joint new statement of many expert group have been issued . 
 serum testosterone ( t ) has been shown to be associated with mets . 
 several studies have shown a higher prevalence of mets in subjects with low testosterone . 
 there are also several studies showing a significant difference in serum t between those with mets and those without . 
 serum t has also been shown to be associated with components of mets and testosterone replacement therapy ( trt ) improves various metabolic and anthropometric parameters in mets . 
 patients with androgen deprivation for treatment of various cancers have also been reported to have higher prevalence of mets . 
 but the evidence of association is not sufficient evidence for the causation of mets by low testosterone and long - term studies are needed to confirm whether t deficiency is the cause or is a feature of mets . ","Metabolic syndrome (also called syndrome X) is a collection of risk factors for heart disease. It includes high blood sugar, high blood pressure, high cholesterol, and a large waistline. It affects many people. It is one of the biggest threats to public health in the 21st century. It affects a large part of the population. The International Diabetes Federation estimates that around 20-25% of the adult population of the world has metabolic syndrome. Several definitions have been put forward by different expert bodies, leading to confusion. To overcome this, a joint new statement of many expert groups has been issued. Testosterone has been shown to be associated with metabolic syndrome. Several studies have shown a higher prevalence of metabolic syndrome in subjects with low testosterone. There are also several studies showing a significant difference in serum testosterone between those with metabolic syndrome and those without. Serum testosterone has also been shown to be associated with components of metabolic syndrome. Testosterone replacement therapy (TRT) improves various metabolic and anthrop","Metabolic syndrome is a group of conditions that increase the risk of heart disease and diabetes. It is a major health problem worldwide, affecting about 20-25% of adults. The exact definition of metabolic syndrome is still being debated, but it is associated with low levels of testosterone. Research has shown that men with low testosterone levels are more likely to develop metabolic syndrome, and that testosterone replacement therapy can improve some of the symptoms. However, more research is needed to determine if low testosterone is the cause of metabolic syndrome or just a symptom."
" background in this study , we sought to determine the effect of the mean transprosthetic pressure  gradient ( tpg ) , measured at 6  weeks after aortic valve replacement ( avr ) or avr with coronary artery bypass grafting ( cabg ) on late all - cause mortality.methodsbetween january 1998 and march 2012 , 2,276 patients ( mean age 68    11  years ) underwent tpg analysis at 6  weeks after avr ( n  =  1,318 ) or avr with cabg ( n  =  958 ) at a single institution . 
 mean tpg was 11.6    7.8  mmhg and median tpg 11  mmhg . 
 based on the tpg , the patients were split into three groups : patients with a low tpg ( < 10  mmhg ) , patients with a medium tpg ( 1019  mmhg ) and patients with a high tpg ( 20  mmhg ) . 
 cox proportional - hazard regression analysis was used to determine univariate predictors and multivariate independent predictors of late mortality.resultsoverall survival for the entire group at 1 , 3 , 5 , and 10  years was 97 , 93 , 87 and 67  % , respectively . 
 there was no significant difference in long - term survival between patients with a low , medium or high tpg ( p  =  0.258 ) . 
 independent predictors of late mortality included age , diabetes , peripheral vascular disease , renal dysfunction , chronic obstructive pulmonary disease , a history of a cerebrovascular accident and cardiopulmonary bypass time . 
 prosthesis  
 patient mismatch ( ppm ) , severe ppm and tpg measured at 6  weeks postoperatively were not significantly associated with late mortality.conclusionstpg measured at 6  weeks after avr or avr with cabg is not an independent predictor of all - cause late mortality and there is no significant difference in long - term survival between patients with a low , medium or high tpg . ","This study looked at the effect of the mean transprosthetic pressure gradient (TPG) measured at 6 weeks after aortic valve replacement (AVR) or AVR with coronary artery bypass grafting (CABG) on late all-cause mortality. The study included 2,276 patients (mean age 68 ± 11 years) who underwent TPG analysis at 6 weeks after AVR (n = 1,318) or AVR with CABG (n = 958) at a single institution. Mean TPG was 11.6 ± 7.8 mmHg and median TPG was 11 mmHg. Based on the TPG, the patients were split into three groups: patients with a low TPG (<10 mmHg), patients with a medium TPG (10-19 mmHg) and patients with a high TPG (≥20 mmHg). Cox proportional-hazard regression analysis was used to determine univariate predictors","A study looked at how well a patient's heart functioned after aortic valve replacement surgery. The study found that the pressure in the heart's valves was not a good predictor of how well the patient would do in the long run. The study also found that other factors, such as age, diabetes, and a history of heart problems, were more important in predicting long-term survival. The study did not find any difference in survival rates between patients with low, medium, or high pressure in their heart valves."
" a 55-year - old woman with dilated cardiomyopathy and rate - dependent left bundle branch block had a cardiac resynchronisation therapy ( crt ) device implanted . during implantation 
 , the maximum rate of left ventricular pressure rise ( dp / dtmax ) was measured invasively . 
 this case presents a description of the acute negative effect of a left bundle branch block on dp / dtmax , and the different effect of crt on left ventricular haemodynamic function in the presence and absence of a left bundle branch block . ","A 65-year-old man with high blood pressure, high cholesterol, and kidney disease had","A 55-year-old woman with a condition that makes her heart work less efficiently had a device implanted to help her heart beat more normally. The device was implanted during a procedure that measured how quickly her heart was pumping blood. The results showed that the woman's heart condition affected how quickly her heart pumped blood, and the device helped improve her heart function."
" background : atrial septal defect ( asd ) is a congenital heart defect that leads to shunting of blood between left and right atria 
 . it may be asymptomatic and sometimes may present with heart failure . 
 surgical repair is definitive , but currently non - surgical procedure is used to close the defect.materials and methods : it is a retrospective study of patients who underwent transcatheter closure of asd at innova heart hospital , hyderabad , india . 
 echocardiography was repeated at intervals of 24 hours , then at 1 , 3 and 6 months after the procedure to assess complications . 
 the morphological characteristics of the asd , including its diameter , location , shape and the width of surrounding septal margins , were also evaluated.results:from april 2007 to june 2011 , 69 consecutive children ( 29 males , 40 females ) with a median age of 9.0 years ( range = 3.219 years ) registered with diagnosis of asd . 
 the median weight was 31.5 kg ( range = 7.539.0 kg ) . 
 five patients ( 7.2% ) were young children aged 35 years . 
 forty - four ( 63.8% ) of these children presented with symptoms of heart failure , whereas 47 ( 68.1% ) of the cases repaired with device were large - sized asd . 
 the most common interventional procedures done were searcare heart and amplatzer technique with a highest success rate obtained in 2010.conclusions:asd is a common congenital heart disease with a high success rate for those who undergo intervention . ","Atrial septal defect (ASD) is a congenital heart defect that leads to shunting of blood between the left and right atria. It may be asymptomatic and sometimes presents with heart failure. Surgical repair is definitive, but currently non-surgical procedures are used to close the defect. This is a retrospective study of patients who underwent transcatheter closure of ASD at Innovahart Hospital, Hyderabad, India. Echocardiography was repeated at intervals of 24 hours, then at 1, 3 and 6 months after the procedure to assess complications. The morphological characteristics of the ASD, including its diameter, location, shape and the width of surrounding septal margins, were also evaluated. From April 2007 to June 2011, 69 consecutive children (29 males, 40 females) with a median age of 9.0 years (range = 3.2-19.0 years) registered with diagnosis of ASD. The median weight","A study looked at 69 children who had a heart defect called an atrial septal defect (ASD). They were treated with a non-surgical procedure to close the defect. The children were monitored for complications and the characteristics of the defect were evaluated. The study found that the children who had symptoms of heart failure were more likely to have a larger defect. The procedure was successful in most cases, with the highest success rate in 2010. The study shows that ASD is a common heart defect that can be treated successfully with intervention."
" background and objectiveslack of suitable donors and regimen related toxicity are major barriers for hematopoietic stem cell transplantation ( hsct ) in patients with sickle cell disease ( scd ) . 
 the aim of the study is the assessment of efficacy and toxicity of treosulfan - based conditioning regimen for scd also when alternative donors such as mismatched unrelated donor and haploidentical donor are employed.methodswe report our single - center experience : 11 patients with scd received hsct with a treosulfan / thiotepa / fludarabine / anti - thymoglobulin conditioning regimen between 2010 and 2015 . 
 the donor was a matched sibling donor ( n= 7 ) , a haploidentical parent ( n= 2 ) , a matched unrelated donor ( n= 1 ) or a mismatched unrelated donor ( n=1 ) . 
 the haploidentical and mismatched unrelated donor grafts were manipulated by removing tcr and cd19 positive cells.resultsall patients survived the procedure and achieved stable engraftment . 
 stable mixed chimerism was observed in 5/11 patients . 
 grade iii  iv regimen related toxicity was limited to mucositis and no grade iii 
  iv graft - versus - host disease ( gvhd ) occurred . 
 no scd manifestation was observed post transplant and cerebral vasculopathy improved in 3/5 evaluable patients . 
 organ function evaluation showed no pulmonary , cardiac or renal toxicity but gonadal failure occurred in 1/4 evaluable patients.conclusionour data suggest that treosulfan is associated with low toxicity and may be employed also for unrelated and haploidentical donor hsct . ","We report our experience with 11 patients with sickle cell disease who received a transplant with a conditioning regimen of treosulfan, thiotepa, fludarabine, and anti-thymoglobulin. All patients survived the procedure and achieved stable engraftment. Stable mixed chimerism was observed in 5/11 patients. Grade III-IV regimen-related toxicity was limited to mucositis and no Grade III-IV graft-versus-host disease occurred. No sickle cell disease manifestations were observed post-transplant and cerebral vasculopathy improved in 3/5 evaluable patients. Organ function evaluation showed no pulmonary, cardiac, or renal toxicity but gonadal failure occurred in 1/4 evaluable patients. Our data suggest that treosulfan is associated with low toxicity and may be employed also for unrelated and haploidentical donor hematopoietic stem cell transplantation.","Researchers studied the safety and effectiveness of a special treatment called treosulfan for patients with a genetic disorder called sickle cell disease. They looked at 11 patients who received this treatment, which is usually given when a matching donor is not available. The patients received a combination of medications and had their immune system suppressed. The results showed that all patients survived the treatment and were able to recover. The researchers found that the treatment was well-tolerated and did not cause any severe side effects. The patients also showed improvement in their condition, with no signs of the disease and improved blood flow to the brain. However, some patients experienced gonadal failure, which is a loss of fertility."
" background : the prevalence of coronary artery disease ( cad ) in end - stage liver disease ( esld ) being evaluated for orthotopic liver transplantation ( olt ) is unclear based on variable definition used for cad.objective:the aim of this study to investigate the prevalence of abnormal stress myocardial perfusion single - photon emission computed tomography ( mps ) imaging , as a marker for cad , among patients with esld who were referred for stress mps imaging as a routine work up before olt.materials and methods : this was a single - center , retrospective study . 
 we reviewed data on 167 patients who were referred for mps as a routine work up before olt over the last 2 years . 
 all patients underwent evaluation for cad risk factors [ age , hypercholesterolemia , diabetes mellitus ( dm ) , hypertension ( htn ) , and smoking ] , and stress mps as per standard protocol.results:the total number of patients referred for stress mps was 167 . 
 seven patients ( 4% of total study population ) were excluded from the study due to poor and/or nondiagnostic studies . 
 147 patients ( 92% ) had normal , but only 13 patients ( 8% ) had abnormal mps scans . 
 dm and male gender were the most independent risk factors for abnormal mps with p value of 0.046 , and 0.26 , respectively . 
 there was no significant association between the abnormal mps result and htn , hypercholesterolemia , smoking , age or etiology of the liver disease.conclusion:based on our data , the prevalence of abnormal mps and left ventricular ejection fraction in patients with esld was found to be 8% . 
 dm and male gender were the most independent predictor factors for abnormal mps . 
 true prevalence of cad and usefulness of mps in patients with esld can only be studied using a very large and randomized prospective study . ","This study looked at the prevalence of coronary artery disease (CAD) in patients with end-stage liver disease (ESLD) who were being evaluated for liver transplantation. The study found that 8% of patients had abnormal stress myocardial perfusion imaging, which is a marker for CAD. Diabetes mellitus and male gender were the most independent risk factors for abnormal stress myocardial perfusion imaging. A large and randomized prospective study is needed to determine the true prevalence of CAD and usefulness of stress myocardial perfusion imaging in patients with ESLD.","This study looked at how common it is for patients with liver disease who are waiting for a liver transplant to have abnormal stress tests that show how well their heart is working. The study found that 8% of patients with liver disease who were referred for stress tests had abnormal results. The most common factors that were associated with abnormal stress tests were diabetes and being male. The study suggests that stress tests may not be very useful in predicting heart disease in patients with liver disease, and that more research is needed to understand the relationship between heart disease and liver disease."
" hypertrophic cardiomyopathy , a common , inherited cardiac muscle disease , is primarily caused by mutations in sarcomeric protein - encoding genes and is characterized by overgrowth of ventricular muscle that is highly variable in extent and location . 
 this variability has been partially attributed to locus and allelic heterogeneity of the disease - causing gene , but other factors , including unknown genetic factors , also modulate the extent of hypertrophy that develops in response to the defective sarcomeric functioning . 
 components of the renin - angiotensin - aldosterone system are plausible candidate hypertrophy modifiers because of their role in controlling blood pressure and biological effects on cardiomyocyte hypertrophy . ","Hypertrophic cardiomyopathy is a common inherited heart disease caused by mutations in genes that make proteins in the heart muscle. The extent of the disease varies from person to person, and it is not clear why this is the case. The renin-angiotensin-aldosterone system is a system that controls blood pressure and may also affect how much the heart muscle grows. This system may be a factor in the variability of hypertrophic cardiomyopathy.","A heart muscle disease called hypertrophic cardiomyopathy is common and inherited. It happens when the heart muscle grows too much. The amount of growth can vary from person to person and is influenced by many factors, including genes and other unknown factors. The disease can also be affected by the body's natural systems that control blood pressure."
" tension pneumothorax is a life threatening condition that occurs when the intrapleural pressure exceeds atmospheric pressure . 
 it requires prompt diagnosis and immediate treatment . 
 tension pneumothorax developing postoperatively after cardiac surgery is not uncommon but occurrence in the operating room during cardiac surgery is rare . 
 we report a case of tension pneumothorax intraoperatively during off pump coronary artery bypass grafting . ",A 70-year-old man with a history of hypertension and diabetes mellitus had sudden chest pain that radiated to his left arm. He was diagnosed with a heart attack and treated with a procedure to open his blocked arteries.,"A serious condition called tension pneumothorax can happen when air gets trapped in the space between the lungs and chest wall. It's a life-threatening emergency that needs to be treated right away. This condition can happen during or after heart surgery, but it's rare to happen during surgery when the heart is not beating. We're reporting a case of this condition happening during a type of heart surgery called off-pump coronary artery bypass grafting."
" anomalous origin of a coronary aortic artery is a rare cardiac anomaly . although it can cause angina , syncope , and palpitations , most patients are asymptomatic . 
 this anomaly requires surgical treatment or intervention because it is associated with sudden death . 
 several surgical techniques , such as coronary reimplantation , coronary artery bypass grafting ( cabg ) , unroofing , and neo - ostium formation , have been proposed as treatments . 
 we report a case surgically treated with neo - ostium formation in anomalous origin of the left coronary artery from the right coronary sinus . ",A 45-year-old man had a heart attack and was treated successfully with a procedure to open his blocked arteries.,"A rare heart problem called an anomalous origin of a coronary artery can cause symptoms like chest pain, fainting, and a racing heart. Most people with this problem don't have symptoms, but it can be life-threatening. The only way to fix this problem is with surgery. There are different types of surgery that can be used, and one type that was used in this case was called neo-ostium formation."
" patients with acute coronary syndromes ( acs ) who are accompanied by atypical symptoms are frequently misdiagnosed and under - treated . 
 this study was conducted to examine and compare the factors associated with atypical symptoms other than chest pain in younger ( < 70 yr ) and older ( 70 yr ) patients with first - time acs . 
 data were obtained from the electronic medical records of the patients ( n=931 ) who were newly diagnosed as acs and hospitalized from 2005 to 2006 . 
 the 7.8% ( n=49 ) of the younger patients and 13.4% ( n=41 ) of the older patients were found to have atypical symptoms . 
 older patients were more likely to complain of indigestion or abdominal discomfort ( p=0.019 ) , nausea and/or vomiting ( p=0.040 ) , and dyspnea ( p<0.001 ) , and less likely to have chest pain ( p=0.007 ) and pains in the arm and shoulder ( p=0.018 ) . a logistic regression analysis showed that after adjustment made for the gender and acs type , diabetes and hyperlipidemia significantly predicted atypical symptoms in the younger patients . in the older patients , the co - morbid conditions such as stroke or chronic obstructive pulmonary disease were positive predictors . 
 health care providers need to have an increased awareness of possible presence of acs in younger persons with diabetes and older persons with chronic concomitant diseases when evaluating patients with no chest pain . ","Patients with acute coronary syndrome who have atypical symptoms are often misdiagnosed and under-treated. This study examined and compared the factors associated with atypical symptoms in younger and older patients with first-time acute coronary syndrome. Data were obtained from the electronic medical records of 931 patients who were newly diagnosed with acute coronary syndrome and hospitalized from 2005 to 2006. Seven point eight percent of the younger patients and 13.4% of the older patients had atypical symptoms. Older patients were more likely to complain of indigestion or abdominal discomfort, nausea and/or vomiting, and dyspnea, and less likely to have chest pain and pains in the arm and shoulder. A logistic regression analysis showed that after adjustment made for gender and acute coronary syndrome type, diabetes and hyperlipidemia significantly predicted atypical symptoms in the younger patients. In the older patients, the co-morbid conditions such as stroke or chronic obstructive pulmonary disease were positive predictors. Health care providers need to",Many patients with heart problems who don't have typical symptoms like chest pain are often misdiagnosed and not treated properly. This study looked at patients who had heart problems for the first time and found that younger patients with diabetes and older patients with other health problems were more likely to have atypical symptoms. Doctors need to be more aware of these patients and check for heart problems even if they don't have typical symptoms.
" obesity is associated with an increased risk of heart failure . 
 little is known about the impact of dietary changes on the cardiac sequelae in obese patients . 
 twenty - one obese subjects underwent a 12-week low calorie fasting phase of a formula diet . 
 transthoracic two - dimensional speckle - tracking echocardiography was performed to obtain systolic left ventricular strain before and after weight loss . 
 body mass index decreased significantly from 38.6  6.2 to 31.5  5.3  kg / m2 , and the total percentage fat loss was 19% . 
 weight reduction was associated with a reduction in blood pressure and heart rate . left ventricular longitudinal global peak systolic strain was in the lower normal range ( 18.7  3.2% ) before weight loss and was unchanged ( 18.8  2.4% ) after 12 weeks on diet with substantial weight loss . 
 also , no significant change in global radial strain after weight loss was noted ( 41.1  22.0 versus 43.9  23.3 , p = 0.09 ) . left atrial and ventricular dimensions were in normal range before fasting and remained unchanged after weight loss . in our study obesity 
 was associated with normal systolic left ventricular function . 
 a 12-week low calorie diet with successful weight loss can reduce blood pressure and heart rate . 
 systolic left ventricular function and morphology were not affected by rapid weight reduction . ","Obesity is associated with an increased risk of heart failure. Little is known about the impact of dietary changes on the cardiac sequelae in obese patients. Twenty-one obese subjects underwent a 12-week low calorie fasting phase of a formula diet. Transthoracic two-dimensional speckle-tracking echocardiography was performed to obtain systolic left ventricular strain before and after weight loss. Body mass index decreased significantly from 38.6 ± 6.2 to 31.5 ± 5.3 kg/m2, and the total percentage fat loss was 19%. Weight reduction was associated with a reduction in blood pressure and heart rate. Left ventricular longitudinal global peak systolic strain was in the lower normal range (18.7 ± 3.2%) before weight loss and was unchanged (18.8 ± 2.4%) after 12 weeks on diet with substantial weight loss. Also, no significant change in global radial strain after weight loss was noted (41.1","A study looked at 21 obese people who followed a low-calorie diet for 12 weeks. They lost weight and their blood pressure and heart rate went down. The study found that even though they were obese, their heart function was normal. Losing weight with a low-calorie diet did not affect their heart function."
