gpt-5.4,gpt-5.4-mini
"Cognitive reappraisal is a core emotion-regulation strategy that depends on coordinated interactions among large-scale control and affective systems, yet the contribution of posterior parietal cortex (PPC) networks to this process remains insufficiently characterized. In this study, we used functional magnetic resonance imaging and Dynamic Causal Modelling (DCM) to examine effective connectivity within a PPC-centered network during cognitive reappraisal. Healthy adult participants completed an established reappraisal task in which they either passively viewed negative emotional images or reinterpreted them to reduce their emotional impact. We specified and compared competing DCMs incorporating key PPC subregions together with prefrontal and visual areas implicated in attentional control, stimulus representation, and regulatory implementation. Bayesian model comparison identified a network architecture in which reappraisal was associated with enhanced top-down coupling from dorsolateral and inferior parietal regions to visual processing areas, alongside strengthened reciprocal interactions between PPC and prefrontal cortex. Modulatory effects were most pronounced for connections linking intraparietal and superior parietal regions with lateral prefrontal cortex, consistent with increased attentional selection and goal maintenance during reinterpretation of affective stimuli. In contrast, passive viewing was better characterized by relatively","Reading comprehension is supported by distributed neural systems, yet the contribution of the cerebellum remains poorly characterized at cellular resolution. Here we used two-photon calcium imaging to monitor population and single-cell activity in the cerebellar cortex of awake mice during a visually guided reading-comprehension analog task that required discrimination of sentence-like symbol sequences and extraction of contextual meaning. Across task epochs, Purkinje-cell and granule-cell ensembles exhibited rapid, stimulus-locked responses that differentiated between syntactic regularity, semantic congruency, and decision outcome. Trial-by-trial activity was predictive of behavioral accuracy and reaction time, with distinct subpopulations encoding early perceptual parsing versus later integrative evaluation. Functional clustering revealed temporally multiplexed representations that were spatially interleaved within microzones and were modulated by learning, becoming more selective as performance improved. Optogenetic perturbation of cerebellar output disrupted comprehension-like judgments without altering basic visual detection, indicating a causal role in higher-order sequence interpretation. These findings identify cerebellar microcircuits as active participants in the neural computations supporting reading comprehension and suggest that the cerebellum contributes to the coordination of predictive and integrative processes beyond motor control."
"How the human cortex stores perceptual knowledge of musical pitch remains unresolved, particularly with respect to whether tonal representations are localized to discrete auditory fields or distributed across broader sensory-associative networks. Here we investigated the cortical engrams of tonal perception by combining high-resolution functional neuroimaging, multivariate decoding, and noninvasive perturbation during tasks requiring pitch discrimination, tonal pattern recognition, and delayed auditory recall. Across participants, tonal information was reliably encoded not only in primary and secondary auditory cortex along Heschl’s gyrus and the superior temporal plane, but also in inferior frontal, parietal, and premotor regions, indicating that tonal perception is supported by a distributed cortical ensemble rather than a single storage site. Representational similarity analyses revealed a hierarchical organization in which early auditory regions preserved fine-grained acoustic features, whereas anterior temporal and frontoparietal areas encoded more abstract tonal relations, including interval structure and key membership. Critically, cross-temporal decoding and perturbation evidence suggested that storage is implemented through recurrent, dynamic activity patterns stabilized by cortico-cortical connectivity, rather than by static local traces alone. Disruption of posterior superior temporal cortex selectively impaired precision of pitch judgments, whereas interference in inferior frontal regions disproportionately affected","Biological motion perception recruits a distributed temporoparietal network, yet the contribution of fine-grained subregions within the supramarginal gyrus (SMG) remains poorly understood. Using high-resolution functional MRI, we examined whether distinct SMG subfields show differential sensitivity to visual kinematics conveying human movement. Participants viewed point-light and full-body biological motion stimuli, matched non-biological motion controls, and static form conditions while maintaining fixation. Subfield-resolved analyses revealed that posterior SMG exhibited the strongest selectivity for biological motion relative to both control conditions, whereas anterior SMG responded more broadly to motion-related visual input with weaker category specificity. Connectivity analyses further indicated that posterior SMG was preferentially coupled with occipitotemporal motion-sensitive regions during biological motion perception, while anterior SMG showed stronger associations with parietofrontal areas implicated in action prediction and sensorimotor integration. These findings suggest a functional segregation within SMG, with posterior subfields supporting perceptual analysis of animate motion cues and anterior subfields contributing to higher-order integration of observed movement. By resolving SMG at subfield resolution, this study refines models of biological motion processing and highlights the value of high-resolution fMRI for mapping structure-function relationships"
"The intraparietal sulcus (IPS) plays a central role in visuospatial attention, sensorimotor integration, and cognitive control, functions that are heavily engaged during action video game play. Here, we investigated whether structured video game training induces neuroplastic changes in the IPS and whether such changes are associated with improvements in attention and visuomotor performance. Healthy young adults with limited prior gaming experience were randomly assigned to either an action video game training group or an active control group that engaged in non-action digital tasks matched for time and motivation. Participants completed behavioral testing and magnetic resonance imaging before and after a multi-week training intervention. Behavioral measures assessed visuospatial attention, multiple-object tracking, and response speed, while neuroimaging analyses quantified changes in IPS structure and task-related functional activity.

Compared with the control group, participants who underwent action video game training showed significant improvements in attentional performance and visuomotor efficiency. These behavioral gains were accompanied by training-related changes in the IPS, including increased task-evoked activation and altered functional coupling with frontal and occipital regions implicated in attentional selection and visual processing. Exploratory structural analyses further suggested localized gray matter increases within the IPS following training. Importantly, the magnitude of IPS plasticity","The motor cortex is traditionally viewed as a system for action execution, yet converging evidence suggests that it also contributes to higher-order cognition. Here we investigated whether distinct subregions of motor cortex exhibit functional specialization for executive control beyond their canonical role in movement. Using a combination of task-based functional MRI, multivariate pattern analysis, and connectivity modeling, participants completed tasks probing response inhibition, working memory updating, and rule switching while matched motor demands were controlled across conditions. We found that dorsal premotor and pre-SMA regions showed robust activation during executive demands, with dissociable patterns across control components, whereas primary motor cortex was more selectively engaged by motor output and action preparation. Representational analyses indicated that premotor activity encoded abstract task rules and conflict-related signals independent of overt movement parameters, and effective connectivity analyses revealed increased coupling with frontoparietal control networks during high-demand trials. These findings support a model in which the motor cortex is not a unitary effector system but contains specialized subregions that participate in executive function through distinct computational roles. More broadly, the results suggest that motor cortical circuits may serve as an interface between cognitive control and action selection, providing a mechanistic basis for the integration of decision-making and motor planning."
"Motor learning depends on the coordinated activity of distributed basal ganglia–cortical circuits, yet the spatiotemporal dynamics of globus pallidus activity during skill acquisition remain poorly understood. In this study, we characterized patterns of pallidal activity across learning using high-resolution neural recordings obtained while participants or animal subjects acquired a novel motor sequence task. We tested the hypothesis that the globus pallidus exhibits distinct spatially organized and temporally evolving activity states that track behavioral improvement and the transition from early exploratory performance to stable execution. Across learning, pallidal populations showed marked changes in firing rate, oscillatory synchronization, and population-level state structure. Early learning was associated with broadly distributed, variable activity and enhanced low-frequency coordination, whereas later stages were marked by more focal and temporally precise responses aligned to movement initiation and action selection. Multivariate analyses revealed that these evolving activity patterns predicted trial-by-trial performance, movement vigor, and error reduction, and functional coupling analyses indicated dynamic interactions between pallidal signals and cortical motor regions as learning progressed. Notably, distinct subregions of the globus pallidus contributed differentially to encoding movement timing, outcome history, and emerging motor habits, suggesting a heterogeneous internal organization that supports multiple components of learning.","Effective connectivity within the retrosplenial cortex (RSC) is thought to support the integration of scene, spatial, and contextual information during episodic encoding, yet the directionality and task dependence of these interactions remain poorly understood. We used cognitive neuroscience methods to examine how subregions of the RSC interact during episodic encoding tasks that varied in mnemonic demand and contextual richness. Participants encoded visually presented events while undergoing functional neuroimaging, and effective connectivity was estimated using a directed network modeling approach. We tested whether encoding success was associated with changes in coupling among posterior and anterior RSC subregions and their interactions with medial temporal and parietal regions. Encoding of successfully remembered episodes was associated with stronger bidirectional coupling within the RSC, with a prominent increase in influence from posterior to anterior subdivisions. This pattern was further amplified for events containing richer spatial-contextual detail, suggesting that RSC communication is dynamically modulated by the structure of the encoded episode. In addition, effective connectivity within the RSC predicted subsequent memory performance above and beyond regional activation, indicating that directed interregional interactions carry information relevant to episodic formation. These findings support a model in which the RSC functions not as a unitary node but as a dynamically organized circuit whose internal"
"Multisensory binding enables the integration of information across sensory modalities into coherent episodic representations, yet the extent to which recently formed multisensory traces are spontaneously reactivated during post-encoding rest remains unclear. Here, we tested whether activity patterns in the angular gyrus, a heteromodal cortical region implicated in episodic integration and recollection, are replayed during rest following multisensory binding. Healthy adult participants underwent functional MRI while encoding trial-unique audiovisual associations that required the integration of semantically congruent or incongruent object features. Resting-state scans were acquired immediately before and after encoding, and multivoxel pattern analyses were used to quantify the reinstatement of encoding-related angular gyrus patterns during post-encoding rest relative to pre-encoding baseline. We found that distributed activity patterns expressed in angular gyrus during successful multisensory binding reappeared during subsequent rest, with replay strongest for associations that were later remembered. This post-encoding reinstatement was temporally structured, selective to encoding-derived representations, and exceeded replay observed in control regions not primarily associated with episodic integration. Moreover, the magnitude of angular gyrus replay predicted subsequent associative memory performance across participants and trials, suggesting a functional contribution to consolidation. Explor","Cognitive control relies on the flexible representation of task goals, rules, and action selections across distributed frontoparietal circuits, yet the contribution of the supramarginal gyrus (SMG) remains incompletely understood. Here, we used multivariate pattern analysis of functional MRI data to test whether the SMG contains information about cognitive control states beyond that explained by univariate activation differences. Participants performed a task requiring rapid switching between competing control demands, allowing us to decode trial-wise representations of rule context, conflict level, and response selection. Pattern classifiers revealed reliable above-chance decoding of control states in bilateral SMG, with the strongest effects in the left hemisphere. Representational similarity analyses further indicated that SMG activity patterns tracked abstract task structure, showing greater similarity among trials sharing control demands than among perceptually similar but control-dissimilar trials. These effects persisted after controlling for activity in canonical prefrontal control regions, suggesting that SMG contributes unique representational content rather than reflecting passive propagation of executive signals. Together, the findings support a role for the SMG in encoding latent cognitive control states and suggest that this parietal region participates in the distributed neural architecture supporting flexible behavior."
"Memory consolidation depends on coordinated interactions among distributed brain regions, yet the contribution of intra-thalamic dynamics to this process remains poorly understood. In this study, we investigated effective connectivity within the thalamus during memory consolidation tasks to characterize how thalamic subregions influence one another as recently encoded information is stabilized. Functional neuroimaging data were acquired while participants performed post-encoding consolidation-related memory tasks, and thalamic nuclei were defined using anatomically informed region-of-interest parcellation. Effective connectivity was estimated using a directed modeling framework to assess task-dependent causal interactions among anterior, mediodorsal, and pulvinar thalamic regions. Results revealed a significant reconfiguration of intra-thalamic connectivity during consolidation relative to control conditions, with stronger directed influences originating from anterior thalamic regions toward mediodorsal nuclei and enhanced bidirectional coupling involving the pulvinar. Connectivity strength within this network was positively associated with subsequent memory performance, indicating that more coordinated thalamic signaling supported better retention. These findings suggest that the thalamus contributes to memory consolidation not merely as a relay structure, but as an active integrative hub whose internal dynamics shape mnemonic processing. By identifying task-sensitive patterns of effective connectivity within the thalamus,","Episodic encoding is accompanied by transient changes in autonomic arousal, yet the neural systems linking these changes to successful memory formation remain incompletely understood. Here, we examined whether trial-by-trial pupil dilation during encoding predicts subsequent episodic memory and whether this relationship is associated with activity in the supramarginal gyrus, a parietal region implicated in attention and memory processing. Participants encoded visually presented items while pupillometry and functional MRI were acquired, followed by a later recognition test. Memory performance was greater for items associated with larger task-evoked pupil responses during encoding, consistent with enhanced attentional engagement at the time of learning. Critically, greater pupil dilation covaried with increased activity in the left supramarginal gyrus, and this region showed stronger encoding-related responses for subsequently remembered than forgotten items. Mediation analyses suggested that supramarginal gyrus activity partially accounted for the association between pupil dilation and later memory success. These findings identify pupillometric fluctuations as a sensitive marker of encoding states that support episodic memory and suggest that supramarginal gyrus activity may index a neural mechanism through which arousal-related changes facilitate successful encoding. Together, the results"
"Emotion recognition deficits are a robust feature of several major psychiatric disorders and may index familial liability, yet their longitudinal neural correlates in unaffected first-degree relatives remain poorly understood. We investigated behavioral and neuroimaging markers of emotion recognition over time in first-degree relatives of affected probands, testing whether altered brain responses during socioemotional processing represent stable vulnerability indicators. In a prospective longitudinal design, unaffected first-degree relatives and demographically matched healthy controls completed repeated assessments of facial emotion recognition and functional magnetic resonance imaging during an established emotion-processing task. Whole-brain and region-of-interest analyses focused on corticolimbic systems implicated in salience detection, affective appraisal, and regulatory control, including the amygdala, insula, anterior cingulate cortex, and prefrontal regions. Relative to controls, first-degree relatives showed subtle but persistent reductions in recognition accuracy for negative emotions, accompanied by altered activation in amygdala-prefrontal circuitry. Across time, these neural differences were more stable than behavioral performance, with relatives exhibiting sustained amygdala hyperresponsivity to fearful and angry faces and reduced recruitment of ventromedial and dorsolateral prefrontal regions during emotion evaluation. Longitudinal analyses further indicated that aberrant functional responses predicted","The anterior insula is a key hub for integrating interoceptive and affective information, yet the spectral dynamics supporting emotional processing remain incompletely understood. Here, we examined changes in local spectral power within the anterior insula during the perception and evaluation of emotionally salient stimuli. Intracranial and/or high-resolution electrophysiological recordings were analyzed across task epochs to quantify frequency-specific responses associated with emotional engagement relative to neutral conditions. We observed robust increases in low-frequency power, accompanied by frequency-dependent modulation in higher bands, during periods of heightened emotional processing. These effects were strongest when stimuli required explicit affective appraisal, suggesting that anterior insula activity reflects both salience detection and the coordination of cognitive-affective states. Importantly, the temporal profile of spectral changes indicated an early response to stimulus onset followed by sustained modulation during evaluation, consistent with a role for the anterior insula in maintaining emotional awareness. Together, these findings provide novel evidence that emotional processing in the anterior insula is characterized by dynamic, band-specific spectral reorganization, advancing our understanding of the neural mechanisms underlying affective experience."
"Reward-guided decision making depends critically on the ventromedial prefrontal cortex (vmPFC), yet the temporal dynamics by which this region encodes reward remain incompletely understood. Here, we investigated whether delta-band oscillations support reward processing in the human vmPFC by combining intracranial electrophysiological recordings with a value-based decision task. Participants performed choices associated with varying reward outcomes and expectancy while local field potentials were recorded from electrodes implanted in vmPFC for clinical purposes. Reward receipt elicited a robust increase in delta power and phase consistency, emerging within several hundred milliseconds of outcome onset and scaling with reward magnitude and subjective value. Delta activity was strongest for positive outcomes and was attenuated for omitted or lower-than-expected rewards, indicating sensitivity to reward prediction signals. Time-resolved analyses further showed that vmPFC delta responses tracked trial-by-trial fluctuations in expected value and predicted subsequent choice adjustments. Functional coupling analyses revealed enhanced delta-band coordination between vmPFC and distributed frontal-limbic sites during reward evaluation, suggesting that delta oscillations contribute to network-level integration of motivationally relevant information. Together, these findings identify delta oscillations as a core mechanism of human vmPFC reward processing and provide evidence that low","Interval timing is a core function for perception and action, yet the neural signals that precede accurate versus inaccurate temporal judgments remain incompletely understood. Here we asked whether pre-trial activity in the putamen can predict subsequent interval timing outcomes. Using functional neuroimaging and trial-by-trial decoding analyses, we examined whether patterns of putaminal activity before stimulus onset carried information about later timing performance. Pre-trial activity in the putamen reliably distinguished trials that were subsequently judged accurately from those that were not, above chance and beyond general task engagement. This decoding effect was specific to the putamen and was not explained by concurrent activity in adjacent striatal or cortical regions. Moreover, greater pre-trial putaminal signal strength was associated with improved temporal precision, suggesting that baseline striatal state modulates readiness for interval encoding and comparison. These findings indicate that the putamen contains anticipatory neural information that forecasts timing outcomes before the interval begins, supporting a role for striatal preparatory states in shaping temporal decision-making. More broadly, the results highlight pre-event neural dynamics as a mechanistic contributor to cognitive performance and identify the putamen as a predictive node in the neural architecture of interval timing."
"Language comprehension is typically associated with distributed perisylvian and temporal networks, yet growing evidence suggests that the parahippocampal cortex contributes to contextual integration, event representation, and semantic prediction. Here, we present a microcircuit account of how the parahippocampal cortex supports language comprehension by linking laminar computations to the online construction of meaning. We propose that local excitatory-inhibitory motifs, recurrent hippocampal-parahippocampal interactions, and top-down inputs from frontal and temporal association cortices jointly implement three core operations: the binding of lexical items to situational context, the maintenance of multiword dependencies across time, and the generation of structured predictions about upcoming linguistic input. Using a biophysically constrained computational model, we show that distinct microcircuit regimes reproduce key signatures of comprehension, including sensitivity to discourse coherence, ambiguity resolution, and surprisal-dependent updating. The model further predicts layer-specific responses to contextual mismatch, differential contributions of feedforward and feedback pathways during sentence processing, and graded impairments following disruption of inhibitory gain or recurrent connectivity. These predictions provide a mechanistic framework for reconciling mnemonic and linguistic functions of the medial temporal lobe and suggest that the parah","Frontotemporal dementia (FTD) is associated with prominent neurodegenerative and neuropsychiatric changes, yet the contribution of neuroinflammatory processes to basal forebrain dysfunction remains poorly understood. In this study, we examined whether in vivo markers of neuroinflammation are related to structural and functional alterations of the basal forebrain in patients with FTD. Using multimodal neuroimaging, including a translocator protein (TSPO)-sensitive inflammatory measure and magnetic resonance imaging-based morphometric analyses, we assessed basal forebrain integrity and its relationship to cognitive and behavioral impairment. Compared with healthy controls, patients with FTD showed elevated neuroinflammatory signal in regions overlapping the basal forebrain and reduced basal forebrain volume. Greater inflammatory burden was associated with more pronounced basal forebrain atrophy and worse performance on attention, executive, and social cognition measures. These associations remained significant after accounting for disease severity, age, and global cortical atrophy, suggesting a specific link between neuroinflammation and basal forebrain compromise. Our findings support the hypothesis that inflammatory processes contribute to cholinergic system vulnerability in FTD and may help explain deficits in arousal, attention, and behavioral regulation. Targeting neuroinflammation may therefore represent a promising avenue for"
"Anticipatory anxiety is a conserved affective state that prepares organisms to respond to uncertain threat, yet the neural computations supporting this process across species remain poorly understood. Here, we examined whether the precuneus—a cortical hub implicated in self-referential processing, threat anticipation, and large-scale network integration in humans—shows functionally comparable involvement in anticipatory anxiety across species. We combined functional neuroimaging and behavioral assays in humans with circuit-level recordings and perturbation approaches in a translational animal model exposed to matched uncertain-threat paradigms. Across species, anticipatory anxiety was associated with increased precuneus-centered activity and strengthened coupling between the precuneus and regions involved in salience detection, autonomic regulation, and defensive responding. In humans, precuneus responses scaled with subjective anxiety, intolerance of uncertainty, and autonomic arousal. In the animal model, homologous posterior medial cortical activity tracked threat expectancy and predicted anxiety-like behavior, while causal manipulation of this circuit bidirectionally altered anticipatory defensive states. Cross-species representational analyses revealed a shared neural signature linking posterior medial cortical dynamics to uncertainty-dependent threat anticipation. These findings identify a conserved role for precuneus-related circuitry in organizing anticipatory anxiety and suggest that posterior","Motor learning is traditionally associated with distributed sensorimotor and cerebellar circuits, yet converging evidence suggests that perisylvian language regions may also contribute to the representation and sequencing of skilled actions. Here, we used multivariate pattern analysis (MVPA) of functional MRI data to test whether Wernicke’s area contains discriminable neural representations related to motor learning. Healthy adults performed a novel sequence-learning task across acquisition and retention phases while blood-oxygen-level-dependent activity was measured. We trained pattern classifiers on voxelwise activation within anatomically defined posterior superior temporal cortex and evaluated whether local activity patterns could distinguish learned versus unlearned sequences, early versus late learning stages, and successful versus unsuccessful performance. MVPA revealed reliable above-chance decoding of sequence identity in Wernicke’s area, with classification accuracy increasing as learning progressed. Representational similarity analyses further indicated that activity patterns became more structured with practice, suggesting a refinement of internal sequence codes rather than a simple increase in activation magnitude. These effects were not explained by reaction time, task difficulty, or head motion, and were spatially specific relative to adjacent temporal and parietal regions. The findings support the view that Wernicke’s area participates in the neural encoding of learned"
"Error monitoring is a core component of cognitive control, yet the contribution of hippocampal subfields to this process remains poorly characterized. In this meta-analytic review, we examined evidence for activation of the CA1 region during error monitoring across functional neuroimaging studies spanning a range of task domains, including response inhibition, conflict processing, reinforcement learning, and memory-guided decision-making. A systematic search identified studies reporting error-related contrasts with sufficient anatomical specificity to evaluate hippocampal involvement, and coordinates were synthesized using established voxel-based meta-analytic procedures. Across studies, error monitoring was associated with reliable activation in a distributed network centered on dorsal anterior cingulate cortex, anterior insula, lateral prefrontal cortex, and subcortical regions, while convergent CA1 activation was observed more selectively and varied as a function of task demands. Subgroup analyses suggested that CA1 recruitment was more likely when errors occurred in contexts requiring mnemonic prediction, contextual updating, or mismatch detection, consistent with models assigning CA1 a role in comparator operations between expected and observed outcomes. By contrast, tasks emphasizing rapid motor error detection without substantial contextual or relational demands showed weaker and less consistent CA1 effects. These findings indicate that CA1 is not a canonical hub","Spatial reasoning depends on coordinated interactions among frontoparietal and subcortical circuits, yet the contribution of basal ganglia microstructure remains poorly understood. Here, we examined whether diffusion MRI-derived markers of basal ganglia tissue organization are associated with individual differences in spatial reasoning performance in healthy adults. Using high-resolution diffusion imaging, we quantified microstructural properties within the caudate, putamen, and pallidum and related these measures to performance on a standardized spatial reasoning task, while controlling for age, sex, intracranial volume, and general cognitive ability. We found that greater microstructural integrity in the dorsal striatum, indexed by lower mean diffusivity and higher neurite density–sensitive metrics, was selectively associated with better spatial reasoning performance. These associations remained significant after adjustment for confounding variables and were not observed for control regions outside the basal ganglia. Moreover, multivariate models combining diffusion markers from multiple basal ganglia nuclei explained unique variance in spatial reasoning beyond demographic and behavioral covariates. These findings suggest that basal ganglia microstructure contributes to individual differences in spatial reasoning, potentially by supporting the selection, updating, and manipulation of spatial representations through corticostriatal circuitry. More broadly, the results"
"Language learning is known to induce widespread plasticity in cortical systems that support attention, memory, and cognitive control, yet its impact on the orbitofrontal cortex (OFC) remains poorly understood. In this study, we investigated whether acquiring a new language is associated with functional reorganization of the OFC, a region traditionally implicated in valuation, decision-making, and adaptive learning. Using longitudinal functional magnetic resonance imaging, we tracked adult monolingual participants before and after an intensive second-language training program and compared them with a matched control group assessed over the same interval. Participants completed language comprehension and production tasks as well as nonlinguistic reversal-learning and reward-based decision paradigms during scanning. Following language training, learners showed increased OFC responses during lexical-semantic selection and sentence-level disambiguation, accompanied by enhanced functional connectivity between the OFC and inferior frontal, anterior temporal, and striatal regions. These neural changes were paralleled by improved performance on both language tasks and behavioral indices of cognitive flexibility. Multivariate analyses further revealed that post-training OFC activity patterns more reliably discriminated between competing linguistic alternatives, suggesting a shift toward more efficient representational coding under conditions of ambiguity and choice. Importantly, the magnitude of OFC","Model-free reinforcement learning is typically associated with striatal and dopaminergic circuitry, yet growing evidence suggests that sensory cortex may also carry learning-related signals. Here we investigated whether the occipital cortex encodes the geometry of model-free value representations, and whether these representations are organized in a way that reflects learned action-outcome contingencies. Using multivariate fMRI analyses combined with a reinforcement-learning task, we examined how stimulus-specific value signals evolve with experience and whether their neural similarity structure tracks behavioral learning. We found that occipital activity patterns reliably distinguished stimuli according to their learned value, even in the absence of explicit perceptual differences, and that representational distances increased as value estimates diverged across training. Crucially, the geometry of these representations was better explained by model-free prediction-error dynamics than by sensory features, task identity, or motor responses. Moreover, individual differences in the strength of occipital value geometry predicted learning accuracy and choice consistency, suggesting a functional contribution to adaptive behavior. These findings indicate that occipital cortex supports a structured representational space for model-free learning, extending the neural architecture of reinforcement learning beyond canonical decision-making circuits and highlighting a sensory substrate for experience-dependent value coding."
"Skill acquisition induces large-scale changes in cortical function, yet the contribution of the supramarginal gyrus (SMG) to the emergence of expert performance remains poorly understood. Here, we tested whether intensive training reorganizes SMG activity and connectivity in a manner that supports improved sensorimotor and cognitive processing. Healthy adults underwent multimodal neuroimaging before and after a structured training protocol targeting a novel visuomotor skill, alongside behavioral assessments of accuracy, speed, and retention. Relative to baseline, post-training performance showed robust gains that were accompanied by a redistribution of SMG responses, characterized by reduced activation during basic task components and enhanced recruitment during integrative task demands. Functional connectivity analyses further revealed strengthened coupling between the SMG and premotor, inferior frontal, and posterior parietal regions, alongside reduced interactions with domain-general control areas, suggesting a shift from effortful to more efficient task implementation. The magnitude of SMG reorganization predicted individual differences in learning rate and long-term retention, indicating that these neural changes were behaviorally meaningful. Together, these findings identify the supramarginal gyrus as a dynamic hub that is reconfigured through skill acquisition and support models in which learning refines cortical networks by reallocating processing from general","Source memory, the ability to retrieve contextual details about prior experiences, is often linked to medial temporal lobe structures, yet the specific contribution of the perirhinal cortex remains debated. We conducted a meta-analytic review of functional neuroimaging studies examining perirhinal cortex activation during source memory tasks to determine whether this region is reliably engaged across experimental paradigms and what task features may modulate its involvement. Relevant studies were identified through systematic literature search and included when they reported whole-brain or region-of-interest analyses contrasting source memory retrieval conditions with appropriate controls. Activation foci were synthesized using coordinate-based meta-analytic methods to estimate the spatial convergence of perirhinal responses. Across studies, perirhinal cortex activation was observed inconsistently but showed measurable convergence under conditions emphasizing item-specific familiarity, associative retrieval demands, and high-resolution contextual discrimination. In contrast, paradigms that strongly taxed recollection of spatial, temporal, or semantic context more consistently recruited adjacent parahippocampal and hippocampal regions. These findings suggest that perirhinal cortex contributes to source memory when retrieval depends on item-context binding or familiarity-based discrimination, rather than serving as a universal substrate for contextual recollection. The results refine current models"
"Experience-dependent plasticity in the adult primary visual cortex (V1) remains incompletely characterized, particularly in the context of complex skill learning. Here, we investigated whether acquisition of a demanding visuomotor discrimination skill induces measurable functional reorganization in V1 and whether such changes predict behavioral improvement. Healthy adult participants were trained over two weeks on a fine-grained orientation and contrast discrimination task requiring rapid perceptual judgments and precise motor responses, while behavioral performance and cortical activity were assessed before and after training using high-resolution functional magnetic resonance imaging and visual evoked measures. Skill acquisition produced robust gains in accuracy and response speed, accompanied by increased stimulus-selective responses in retinotopically relevant regions of V1, sharpened orientation tuning, and enhanced functional coupling between V1 and frontoparietal control areas. Multivariate pattern analyses further revealed improved decodability of trained visual features following learning, indicating a more distinct cortical representation of task-relevant information. Critically, the magnitude of V1 plasticity correlated with individual differences in behavioral improvement, suggesting that early visual cortex contributes directly to skill refinement rather than merely reflecting downstream changes. These findings demonstrate that adult V1 remains dynamically modifiable during skill acquisition and support a model in which percept","Moral judgment is often treated as a stable product of deliberative evaluation, yet substantial trial-by-trial variability suggests that prefrontal computations may fluctuate dynamically even under identical task demands. Here, we examined whether moment-to-moment changes in prefrontal cortex activity predict variability in moral judgments and their associated response times. Using event-related functional neuroimaging, participants evaluated a series of morally ambiguous scenarios while making judgments about permissibility and blame. We found that trial-by-trial fluctuations in dorsomedial and ventrolateral prefrontal cortex activity were systematically related to shifts in judgment consistency, with greater engagement on trials requiring more conflict resolution and integration of contextual information. Importantly, increased prefrontal variability was associated with slower responses and greater within-subject disagreement across repeated evaluations of the same scenarios, indicating that neural instability tracked behavioral inconsistency rather than random noise. Functional connectivity analyses further suggested that prefrontal variability co-occurred with enhanced coupling to regions implicated in affective salience and mentalizing, including the anterior insula and temporoparietal junction. These findings support a view of moral judgment as a dynamic process shaped by transient fluctuations in control-related prefrontal activity, rather than a fixed or purely trait"
"Rule abstraction enables flexible behavior by allowing individuals to extract higher-order regularities from specific experiences, yet its electrophysiological signatures remain incompletely understood. In the present study, we investigated whether the late positive potential (LPP), a sustained centro-parietal event-related potential associated with evaluative and motivationally relevant processing, tracks the emergence of abstract rule representations during learning. Healthy adult participants completed a rule-learning task in which stimulus-response mappings varied in surface features while preserving an underlying relational structure, permitting comparison between trials requiring abstraction of a latent rule and trials solvable through item-specific associations. Electroencephalographic activity was recorded continuously, and LPP amplitudes were quantified over centro-parietal electrodes within a late post-stimulus time window. Behavioral results showed improved accuracy and faster response times as participants acquired the abstract rule structure. Critically, trials engaging rule abstraction elicited enhanced LPP amplitudes relative to associative control trials, with the magnitude of the LPP increasing across learning and predicting subsequent generalization performance. Single-trial analyses further indicated that larger LPP responses were associated with successful transfer of learned rules to novel exemplars, even after controlling for task difficulty and response speed. These findings suggest that the LPP indexes the evalu","Temporal order judgment (TOJ) requires the brain to infer the sequence of closely spaced sensory events, yet the neural systems that support this computation remain incompletely understood. Here we investigated whether a brainstem–anterior insula circuit contributes to TOJ by integrating arousal-related signals with higher-order perceptual decision processes. Using concurrent behavioral testing and neuroimaging, we found that TOJ performance was selectively enhanced when participants engaged a brief orienting state that increased sensitivity to temporal discontinuities. This behavioral improvement was accompanied by increased functional coupling between the brainstem and anterior insula, with stronger coupling predicting faster and more accurate judgments on trials with minimal interstimulus intervals. Task-based activation analyses further revealed that the anterior insula tracked temporal uncertainty, whereas brainstem activity scaled with the need to resolve near-threshold order information. Mediation analyses suggested that brainstem responses influenced TOJ performance indirectly through anterior insula engagement, consistent with a hierarchical circuit that transforms interoceptive arousal signals into decision-relevant representations. These findings identify the brainstem–anterior insula pathway as a critical contributor to temporal order judgment and suggest that temporal sequencing depends not only on sensory encoding but also on the coordination of salience and arousal systems"
